product_url,category,common_name,common_name_alternate,description,name_origin,center_origin_notes,food_basket,nutrition_notes,preparation_notes,storage_notes
esparrago,verdura,espárrago,,"En su idónea simplicidad, al espárrago lo conforma un tallo esbelto y tierno envuelto en un sabor terroso y suave. Este diurético natural se presta a la creatividad, ya sea asado, salteado o al vapor. Disfrútelo crudo, si lo que busca es una merienda nutritiva.",,"El espárrago es una verdura de origen mediterráneo. Al sur de España se les consume mayormente salteados a la sartén con huevo, roquefort, piñones y champiñones, al vapor, o asados a la plancha.",False,"Abundante en potasio, el espárrago es un aliado de la salud renal y cardíaca. Su contenido en el aminoácido asparagina lo convierte en un destacado diurético, eficaz para prevenir y combatir el edema.",,Envueltos en papel de cocina húmedo
espinaca,verdura,espinaca,,"Verdura antioxidante con alto valor proteico, rica, además, en fibra y minerales de hierro y potasio, no por gusto el legendario y musculoso Popeye la escogió como su primer alimento. Cruda o cocida, en sopas o en ensaladas, salud de hierro se augura a todo el que generosamente la consuma.",,"Oriunda de Asia Central, la espinaca, ingrediente de ensaladas, cocidos al vapor y sopas, ofrece también en la China el tinte de su rojo fruto para sellos oficiales y como colorante labial.",False,"Rica en fibra y reconocida por su notable contenido proteico, con 12.6 gramos por cada 100 calorías, la espinaca también es una potencia vitamínica, con altas dosis de vitaminas A, C y K. Estas vitaminas no solo fortalecen nuestros huesos, sino que también potencian nuestro sistema inmunológico.",,Guardar en un recipiente hermético en la parte baja del refrigerador 
estragon,hierba,estragón,,"No hay auténtico mojito cubano sin estragón, versátil y aromática hierba, condimento y aliño a la vez de carnes blancas y rojas, sopas y ensaladas. Digno de aplausos por sus propiedades antioxidantes y digestivas, y rico en potasio, hierro y vitaminas A, B6 y C, el estragón será por siempre un aliado de su buena salud.",,"Proveniente de Asia Central y Siberia, la variedad más aromática del estragón es la francesa, ampliamente utilizada en la cocina de Francia para realzar salsas y condimentar carnes. En países como Georgia y Rusia, el estragón encuentra su hogar en la Tarkhuna, una popular bebida gaseosa a base de estragón.",False,"Su elevado contenido de fibra regula el tránsito intestinal, y su alta dosis natural de vitamina C, rico antioxidante, retrasa el envejecimiento y combate los radicales libres. El ácido salicílico presente en el estragón funciona como sedante contra los dolores de cabeza.",,En un lugar con poca luz y humedad
fresa,fruta,fresa,,"Absolutamente congruentes su estilizado perfil estético y su grato sabor. La fresa, antioxidante infalible y reductora ejemplar de la presión arterial, suele comerse cruda, en batidos, en mermeladas, pasteles, helados, cereales y yogurt.",,"La fresa, de origen mediterraneo, es de la misma familia que las rosas. Combinadas con nata o vino son un platillo clásico en la Europa Mediterránea. Las fresas recubiertas de chocolate caliente tienen su origen en Chicago, EE.UU, pero rápidamente se extendió por todo el mundo la receta como símbolo de agasajo a un ser querido.",True,"Por su alto contenido de vitamina C y manganeso, la fresa contribuye a mantener la salud de los huesos y protege nuestras células contra el daño oxidativo. Rica en fibras, la fresa también contribuye a sostener un intestino saludable.",,En un recipiente hermético cubierto con papel absorbente
frijol,legumbre,frijol,,"La variedad de platos que podrá elaborar con cualquiera de los colores dentro de la gama que ofrece el frijol, lo convierte en una legumbre multifacética. Ya sea en sopas, refritos, empanadas o, acompañando en el pinto a su inseparable hermano el arroz, no hay manera de servir una buena mesa sin el frijol.",,"Producto de origen Mesoamericano, y grano base en la dieta de las poblaciones indígenas.  En nuestro país, es utilizado principalmente en el platillo típico “gallo pinto”. Sin embargo en otras culturas como la Mexicana podemos observar que se utiliza de forma muy variada como por ejemplo en sopes, frijoles charros y enfrijoladas.",True,"Siendo notables por su aporte en fibra, los frijoles reducen el colesterol malo y aumentan la cantidad de bacterias buenas en el organismo. Su aporte en minerales como potasio, hierro y fósforo, reduce el riesgo de contraer enfermedades cardíacas. ",,En un lugar con poca luz y humedad
garbanzo,legumbre,garbanzo,,"Los garbanzos, versátiles y ricos en proteínas, se integran perfectamente en carnes, sopas, pastas, sándwiches, ensaladas o en un delicioso hummus casero. Además, estas legumbres, al aumentar su tamaño hasta tres veces al cocinarse, llenan el estómago hasta la saciedad.",,"Nacidos en Syria y Turquía, los garbanzos son un componente imperdible en la cocina india y del Medio Oriente. Estos son los protagonistas del conocido hummus, una pasta de garbanzos emblemática en la gastronomía de la región. En el sur de Asia, la harina de garbanzo se emplea para empanizar y freír vegetales.",False,"Su riqueza en potasio, hierro y ácido fólico reduce la hipertensión arterial y contribuye con nuestra salud cardiovascular, a la vez que sus compuestos del complejo vitamínico B son un soporte para el buen estado del sistema nervioso.",,En un lugar con poca luz y humedad
granadilla,fruta,granadilla,,"Licuada y mezclada con agua o con leche y algo de azúcar o miel, la pulpa de la fruta de la granadilla termina siendo un jugo o un batido impostergable. Pero, además, pescados, pollos, cócteles, ensaladas y mariscos miran siempre agradecidos a la granadilla cuando esta se ofrece a acompañarlos en la preparación de diversos platillos culinarios.  ",,"Nativa de las montañas de Colombia, Bolivia y Venezuela, esta planta, hermana de la granada, destaca por su notable dulzura. La común preferencia de la región por consumirla cruda es un testimonio de su sabor excepcional.",True,"Junto con las bayas, la granadilla destaca como la fruta más rica en fibra por taza, con una notable concentración tanto en sus semillas como en su pulpa. Además, es una excelente fuente de vitaminas C y A, y una opción ideal para mantener la piel hidratada y radiante.",,
guanabana,fruta,guanábana,,"¡Una delicia en fresco! La guanábana es dulce y refrescante, lo que la hace un fruto muy popular en Costa Rica. Su deliciosa pulpa blanca es protegida por el exterior verde y espinas de la fruta. ¡Ven como no hay que juzgar a un libro por su portada!",,"Fruta nativa de Mesoamérica y Sudamérica, en México se utiliza su pulpa en la elaboración de helados, dulces, yogures, ensaladas, jugos y cocteles. También en México, sus semillas pulverizadas se usan como repelente contra insectos.",True,"Entre las frutas con mayor aporte de vitamina C y potasio, su pulpa posee efectos antidiarreicos y antiparasitarios y es comúnmente utilizada para incrementar la producción de leche materna.",,Se puede congelar la pulpa de esta para que dure más tiempo
guayaba,fruta,guayaba,,"Autora de quizás la mermelada más icónica de la región, la guayaba contiene incluso más vitamina C que los cítricos, por lo que está a la cabeza cuando de fortalecer nuestro sistema inmunológico se trata. Con su masa suave y cremosa, cada mordisco es un testimonio de la generosidad de la naturaleza. ",,"Originaria de Mesoamérica, la guayaba, puede usted allí lo mismo comérsela a mordiscos que utilizar sus hojas para formar un aromático cigarrillo.",True,"Encabezando la lista en cuanto a aporte de potasio y vitamina C, la guayaba puede contribuir a bajar la presión arterial. Su contenido en fibra ayuda a mejorar los procesos digestivos y a aliviar los síntomas del estreñimiento.",,Puede introducirse en bolsas herméticas con un agujero para que entre el aire
guisante,legumbre,guisante,"abejaquilla, alvilla, arbeja, arbella, arveja, arvejana, arvejo, arvejote, arvejón, bisaltera, bisaltero, bisalto, bisantes, bisarto, chicharro, chícharo, cuchillejo, disante mayor, disante menor, fasolera, garbaneta, guisante, guisante ordinario, guisantera, guisón, haberos, ilar, moros, nanos, pelailla, pequeñicos, poa, prinsol, présoles, pésole, tabilla, tirabeques, tres reyes.  ","Para comer como un guiso, en cremas, acompañando otras verduras, como guarnición, o mezclado con arroz, los guisantes son, por su versatilidad culinaria y altos valores nutritivos, el pequeño gigante de la cocina. Si usted quiere, además, reducir sus niveles de colesterol, inclúyalo con frecuencia en sus comidas. ",,"Los guisantes se cultivan en Asia Menor, su lugar de origen, desde hace miles de años. Sus cosechas se recogen sin llegar al estado de maduración, y de ahí su color verde. La mayor parte de las cosechas de guisantes se utiliza en la elaboración de piensos para animales.",False,"Ricos en proteínas necesarias para el desarrollo de los músculos, los guisantes son notable fuente de fibra, que mejora el tránsito intestinal y reduce el estreñimiento; y de ácido fólico, que previene malformaciones congénitas en el embarazo.",,En un recipiente cerrado
hierbabuena,hierba,hierbabuena,,"Ciertamente buena, esta hierba mentolada, preparada en forma de té o infusiones, ayuda a paliar problemas digestivos, intestinales y del hígado, y reduce los mareos. Su fresco sabor prevalece en las ensaladas y en las salsas que con hierbabuena se elaboran para acompañar algunas carnes.",,"De misterioso origen, se cree que la hierbabuena emergió en el Mediterráneo, África del Norte y ciertas regiones de Asia. En Egipto, llegó a utilizarse como moneda. Gracias a su sabor distintivo, la hierbabuena conquistó rápidamente el mundo de los dulces en Europa. Las bolas de brandy, fusionando hierbabuena y canela, se convirtieron en la sensación inglesa en la década de 1850.",False,"Por ser rica en componentes como vitamina A, hierro y magnesio, la hierbabuena mejora los niveles de hemoglobina. Esta además exhibe propiedades antisépticas y antiinflamatorias.",,En un recipiente con papel absorbente un poco humedecido
hinojo,verdura,hinojo,,"Verdura de milenaria utilidad, no es poca la historia humana que su culinario pedigree ha visto pasar, crudo o cocido, desde las hojas hasta el bulbo, entre caldos, pescados y guisos, el vitamínico y anisado hinojo.  ",,"Originaria del Mediterráneo, esta hierba, empleada en la antigüedad en días de ayuno para saciar el hambre, se utiliza hoy prolijamente en Italia para condimentar carnes, siendo también una favorita en las ensaladas de la cocina mediterránea.",False,"El potasio presente en el hinojo ayuda a regular la presión arterial, mientras otro de los minerales que lo conforman, el magnesio, contribuye a la formación de proteínas y de masa ósea, e influye en el buen estado de los músculos y el sistema nervioso. Sus flavonoides tienen propiedades antiinflamatorias y mejoran la condición de los vasos sanguíneos y el sistema digestivo.",,Puede guardarse en un recipiente con un poco de agua
hongo,otro,hongo,,"Secos, asados, salteados, como condimento para sopas, o como guarnición para acompañar pastas, carnes, verduras o pescados, los hongos comestibles, además de su exótica manera de dejarse ver, aportan una carga considerable de vitaminas, minerales y proteínas. ",,"Los hongos comestibles se reportaron por primera vez en la cuenca mediterránea y en la China. El clásico champiñón a la mediterránea es un acompañante insustituible en platos de pastas, verduras asadas, y carnes.",False,"Su aporte en fibra contribuye al cuidado de la microbiota intestinal y el mantenimiento del peso corporal en parámetros aceptables, al tiempo que sus vitaminas del grupo B contribuyen a metabolizar grasas y proteínas, mientras su alto contenido de selenio funciona como antiinflamatorio. ",,En un recipiente con papel absorbente
jengibre,raiz,jengibre,,"Su sabor picante contribuye a resaltar los sabores de varios platos. Fresco y rallado, enriquece las ensaladas, los sofritos, las salsas. De invaluable ayuda al marinar carnes y pescados, el jengibre tiene además un valor agregado como analgésico, antiinflamatorio y antiséptico.",,Producto sumamente importante y de gran valor economico en la Europa medieval utilizado como especia para condimentar una variedad de platillos. A nuestros dias podemos encontrarlo con facilidad para darle sabor a nuestros platos.,False,"Con elevado contenido de flavonoides, taninos y gingerol, el jengibre es un antioxidante, antibacteriano y anti cancerígeno que retrasa el envejecimiento celular y combate los radicales libres. Por su alta cantidad de magnesio, fósforo y calcio, previene los espasmos y la debilidad muscular. ",,En un lugar seco y oscuro
jocote,fruta,jocote,,"Rico en vitamina C y antioxidantes, el agridulce fruto del jocote es parte importante de la cultura tica y su amplio espectro culinario va desde el pan de jocote, las mermeladas, los frescos y los pasteles, hasta el simple jocote con sal.",,"Nativo de Mesoamérica, en México con el jocote verde se prepara una salsa agria, o son encurtidos en vinagre para comer con chile picante y sal. Al norte de América Central sus hojas se comen cocidas como vegetales.",False,"Rico en vitaminas A, B y C, el jocote previene resfriados e infecciones y por tanto revitaliza el sistema inmune y funciona como antioxidante. Por su aporte en fibra e hierro, el jocote ayuda a regular el peso corporal y combatir la falta de glóbulos rojos, reduciendo la posibilidad de enfermar por anemia.",,
kale,verdura,kale,col rizada,"Si hubiera un premio por la verdura más saludable, la col rizada (o kale) estaría en los primeros lugares. Una fuente enorme en vitaminas y minerales; además de tener un bajo contenido calórico, el kale se puede usar en batidos, ensaladas o hasta cruda.",,"El kale es originario del mediterraneo, sin embargo a lo largo de los años ha tomado popularidad  en diferentes lugares del mundo debido a su versatilidad. Un dato importante es que el Kale al igual que el brócoli, la coliflor, las coles de bruselas y el repollo son variedades de una misma especie de planta. Al tener esta versatilidad lo podemos encontrar en el famoso plato tradicional alemán “Grünkohl mit Pinkel” salchicha acompañada de Kale cocido.O bien también lo podemos comer crudo en ensaladas y batidos.",False,"Con cantidades de calcio tan altas como la leche, el kale, rico en fibra y vitaminas A y C, es de los vegetales con la mayor cantidad de nutrientes por cada 100 gramos. Este es además un buen acompañamiento para comidas altas en carbohidratos ya que previene picos de glucosa.",,Envuelto en papel de cocina en un contenedor o bolsa hermética
kiwi,fruta,kiwi,,"Incluida entre las frutas que más contribuyen a consolidar la salud humana, el kiwi destaca por su sólida carga vitamínica. De sabor inconfundible, su verde pulpa se disfruta de forma singular. Puede usted incluirlo como parte de un delicioso coctel de frutas, en un batido, o, incluso, degustarlo como mermelada.",,"El kiwi es oriundo del Asia Oriental. Cortado en rodajas, en Japón el kiwi se utiliza con frecuencia para acompañar platos de pescado crudo (generalmente salmón o atún) y como ingrediente en ensaladas de vegetales o algas.",False,"Rico en ácido fólico y vitamina C, el kiwi es una potencia inmunoestimulante que puede ayudar a acortar gripes y a acelerar la sanación de heridas por su contenido en vitamina K.",,"En un lugar fresco, seco y alejado de la luz"
lechuga,verdura,lechuga,,"La lechuga está compuesta por alrededor de un 95% de agua, lo que le aporta un toque extra fresco a sus comidas y la convierte en un alimento altamente hidratante. Desate todo su potencial al combinarla con otros ingredientes, ya sea en ensaladas, sándwiches o wraps.",,"De una hierba silvestre al componente estrella en la ensalada griega. La lechuga fue inicialmente cultivada por los griegos y romanos por sus semillas ricas en aceite, pero rápidamente sus hojas se robaron el show en las recetas verdes de todo el mundo.",True,"Fuente de vitamina A y fibra, mientras más oscuras son sus hojas más antioxidantes contienen, por lo que sus variedades más claras poseen menos nutrientes que la mayoría de vegetales. A pesar de esto, por su contenido en fibra y agua, la lechuga es un alimento altamente saciador, por lo que es ideal para incorporar a una dieta baja en calorías.",,Envuelto en papel de cocina en un contenedor o bolsa hermética
lenteja,legumbre,lenteja,,"He aquí las ganadoras del aporte proteico entre las legumbres. Ricas en fibra y aliadas para bajar el colesterol, estas legumbres coronan desde guisos hasta ensaladas con su sabor y nutrición. ",,"Originarias de Asia Menor en el Creciente Fértil, las lentejas se encuentran en muchos platos asiáticos, a menudo cocinadas junto con arroz debido a sus tiempos de cocción similares. En Egipto, el ""kushari"", plato nacional, es una mezcla de lentejas, garbanzos, arroz y pasta, creando una opción vegana altamente nutritiva.",False,"Destacada fuente de proteína vegetal, con 18 gramos por cada taza, las lentejas son además fuente de hierro, haciéndolas una opción ideal para dietas vegetarianas. Estas legumbres son además altas en fibra, lo que las convierte en aliadas para mantener un intestino saludable.",,En un lugar seco y oscuro
limon,fruta,limón,,"No ha vivido del todo quien no haya tomado una limonada bien fría, ni ha comido sabroso aquel que no haya utilizado un limón al sazonar sus alimentos, al preparar pescados y carnes. Sin rivales a la hora de marinar y aromatizar alimentos, el limón es también el comodín todoterreno de la cocina",,"De origen incierto, se sospecha que el limón se gestó en el subcontinente indio. En las tierras indias, el encurtido de limón es una guarnición común servida en los restaurantes. Un desayuno tradicional del sur de la India es el ""chitranna"", arroz condimentado con jugo de limón que se come solo.",True,"El cóctel de vitaminas B, C y E presentes en el limón, más su aporte en minerales como el hierro, manganeso, cobre, potasio y zinc, funciona como coraza protectora de nuestro sistema inmunológico, protege nuestros tejidos, desinflama las lesiones, facilita la absorción del propio hierro y lo convierte en un antiviral y antibacterial efectivo.",,En un lugar seco y oscuro
linaza,otro,linaza,,"El boom de las semillas de linaza lo consolidó su aporte de Omega 3 a la salud humana y su incorporación a los panes y galletas integrales. Molida e incluida en ensaladas, sopas, cremas, como infusión o en el yogur en el desayuno, la semilla de linaza es hoy por hoy un estandarte culinario",,"Los antiguos egipcios utilizaban la linaza, oriunda del Mediterráneo, para hacer lienzos. El salmón rostizado con pesto de linaza, avala el enfoque saludable de los platos de la cocina mediterránea.",False,"Componentes minerales de la linaza como el manganeso y el magnesio, contribuyen al adecuado desarrollo de los huesos, al tiempo que el ácido alfa linoléico de la semilla tiene propiedades antiinflamatorias, funciona como reductor del colesterol y soporte de la buena salud del sistema cardiovascular. Por su contenido en fibra, la linaza es utilizada para aliviar los síntomas del estreñimiento.",,En un lugar seco y oscuro
maiz,verdura,maíz,,"El maíz, planta sagrada entre los indígenas de América, se destaca por la creatividad culinaria en torno a él  y por su alto aporte de energía. Patrimonio cultural costarricense, esta verdura es la base de las chorreadas, bizcochos y diversas creaciones culinarias, tanto dulces como saladas.",,"De raíz mesoamericana, es considerado un alimento sagrado dentro de la cultura azteca. El pozol, las tortillas de maíz, el postre Pinole, las quesadillas, las enchiladas, las gorditas y los tacos son todos platillos clásicos de la gastronomía mexicana que utilizan el maíz en sus recetas.",True,"La presencia del calcio entre sus nutrientes ayuda a mantener fuertes nuestros huesos. Rico en ácido fólico, el maíz se recomienda tanto a embarazadas como a mujeres lactantes, y su vitamina B1 cuida nuestra salud cardiovascular, reduciendo la posibilidad de sufrir ataques al corazón.",,Guardar en la parte baja del refrigerador 
malanga,raiz,malanga,,"No hay cuerpo humano que no agradezca un buen puré de malanga, unas frituras de malanga, un trozo de carne o unas legumbres acompañadas por una ración de malanga, ese tubérculo controlador natural de la glucemia y reductor de indeseados eventos cardiovasculares.",,"Según antigua leyenda hawaiana, la malanga es un niño que creció dentro de esa planta y a partir de ahí se formó la especie humana. Originaria de la India, allí se come frita o al vapor y es un sabor omnipresente en las panaderías al estilo del Medio Oriente. ",False,"Con casi el doble de fibra que la papa, la malanga ayuda a controlar los picos de glucosa en el organismo, retarda la glucemia posprandial, mejora la salud intestinal y reduce las enfermedades coronarias. Su aporte en vitaminas A y C tiene efectos antioxidantes en el organismo.",,Espacio oscuro y con buena ventilación 
mandarina,fruta,mandarina,,"Deliciosa fruta para saborear entera, gajo a gajo, o en jugo. La mandarina es tan singular por su dulce sabor, que uno termina colocándola entre los cítricos favoritos. Las habituales infusiones hechas con su cáscara la convierten en una fruta completamente aprovechable en términos culinarios.",,Se cree que es originaria del sur de Asia. La carne con mandarina es un plato clásico de China que usted probablemente ha escuchado como “pollo a la naranja”.,True,"Rica en vitamina C y compuesta en un 85% de agua, la mandarina potencia nuestro sistema inmunológico contra virus y bacterias. Además, beneficia la salud de nuestra piel, ya que la vitamina C contenida en esta estimula la producción de colágeno, contribuyendo así a una piel tersa y saludable.",,"Se puede conservar a temperatura ambiente o en refrigeración, siempre y cuando no se apilen y pueda circular el aire entre ellas."
mango,fruta,mango,,"El mango no solo aporta generosas dosis de vitaminas A y C, sino que, además, nuestra piel y huesos agradecen su consumo. Versátil fruta tropical de múltiples usos culinarios, podemos comerla cruda, en batidos, en ensaladas, incorporarla a la repostería, cocinarla a la plancha e, incluso, comerla deshidratada como crujiente snack.",,"El mango ha recorrido un largo camino para llegar a nosotros. Originario de la India, allí el mango es apreciado por su acidez, la cual es usada para condimentar curris y elaborar encurtidos.",False,"Además de ofrecer un variado cóctel de vitaminas inmunoprotectoras como la A y la C, su contenido en fibra insoluble fomenta la salud intestinal al prevenir la constipación. Al mismo tiempo, su fibra soluble contribuye a reducir los niveles de colesterol malo. Dado su elevado contenido de azúcar natural, se aconseja consumirlo con moderación para evitar picos de glucosa en la sangre.",,Se conserva bien a temperatura ambiente
manzana,fruta,manzana,,"La manzana es, quizá, la reina de las frutas. Proveedora de vitaminas B y C y de minerales como calcio y fósforo, puede usted disfrutarla cruda o en compotas, pasteles, guisos, postres o como otro sano ingrediente en ensaladas. ""Una manzana al día, al doctor alejaría"", reza un viejo refrán.",,"La manzana, originaria de Asia Central, se ha esparcido por todo el mundo, nutriendo tanto cuerpos como relatos a lo largo de las eras. “La fruta de la paz”, como es también llamada en China, es a menudo consumida allí como postre frito acompañado de caramelo.",True,"Abundante en fibra soluble, la manzana se ha revelado como una aliada crucial para la salud cardiovascular, demostrando prevenir problemas cardíacos cuando se consume de manera regular. Gracias a sus compuestos naturales, como los polifenoles, diversos estudios respaldan que su ingesta contribuye significativamente a la prevención de la diabetes tipo 2.",,"En un lugar fresco, seco y oscuro"
manzanadeagua,fruta,manzana de agua,,"Fruta carnosa y más jugosa que la manzana habitual, suele comerse fresca, a mordiscos. De haberse comido Eva una manzana de agua, es probable que no hubiera querido compartirla, y las Sagradas Escrituras y la especie humana habríamos tomado quizá otro rumbo.",,"Nativa del sudeste asiático e indio, esta fruta, debido a su delicada piel, es difícil de exportar, por lo que se disfruta principalmente a nivel local. Considerada una exquisitez regional, en las islas del océano Indio, se emplea con frecuencia en ensaladas y encurtidos.",False,"Con una buena carga de antioxidantes como quercetina y ácido gálico, la manzana de agua reduce el estrés oxidativo y la inflamación en el cuerpo. Esta además posee propiedades reguladoras de glucosa y es un alimento altamente hidratante.",,
manzanilla,hierba,manzanilla,,"Un té de flores y hojas de manzanilla siempre será oportuno para aliviar los síntomas de un resfriado, como infusión digestiva o relajante, y para calmar los mareos. Su aroma es, además, ingrediente de algunas sopas y sugerentes salsas que se utilizan para cocer el pollo. ",,"La manzanilla siempre ha sido una planta importante gracias a sus propiedades curativas, utilizada desde épocas antiguas como en la cultura egipcia y la greco romana hasta nuestros días. Mejor conocida en la preparación de té, aceites esenciales o bien para uso cosmético.",False,"La quercetina, sustancia antioxidante presente en la manzanilla, contribuye a regular el metabolismo, mientras que la crisina, también presente en esta hierba, reduce los síntomas de trastornos relacionados con la ansiedad y facilita el sueño. Además, la colina, compuesto de la vitamina B, protege al hígado de la acumulación de grasa.",,En un lugar seco.
maracuya,fruta,maracuyá,,"Si desea comer cruda esta fruta, agarre usted una cuchara y disfrute la pulpa gelatinosa del maracuyá. También puede licuarla y tomarla a la manera de un batido, pero si cocinarla es la intención, las deliciosas cremas, tartas y mermeladas de maracuyá lo esperan.",,"El verano de la región brasileña-paraguaya lo vio nacer, el maracuyá, fruto de pasión. No hay duda de que en esta región han sabido sacarle el jugo pues, hasta el día de hoy, Brasil se mantiene como el líder productor de maracuyá.",True,"Rico en hidratos de carbono y agua, el maracuyá es alimento perfecto para recuperar energías. Su alto contenido de vitamina A es esencial para la buena salud de las mucosas, los huesos, la visión y el sistema inmunológico. Su elevada dosis de vitamina C favorece la absorción de hierro y es básica para la formación de huesos, glóbulos rojos y colágeno.",,Guardarla en el cajón de las frutas.
melocoton,fruta,melocotón,,"Ya sea para comerlo a puros mordiscos o en ensaladas de frutas; o cocinado ya, en mermeladas, pasteles y postres, siempre le ayudará esta fruta antioxidante con textura de terciopelo a detener el tiempo y a reducir sus niveles de colesterol y su presión arterial.",,"Luego de ser domesticado en su país de procedencia: China, el melocotón viajó a Japón, India, Persia y finalmente a Europa gracias a la Ruta de la Seda. Para la cultura china esta fruta representa una larga vida. Además de tener un sabor perfecto para la elaboración de platos agridulces, los cuales son representativos en la cocina Oriental, también es una fruta ideal para postres y bebidas. ",False,"Repletos de vitamina A, los melocotones son de gran ayuda para mantener una piel saludable, reducir inflamaciones y sostener el sistema inmunológico, así como para reducir la hipertensión arterial por la presencia en ellos de minerales de potasio y sodio. Por sus notables valores en fibra, los melocotones regulan el tránsito intestinal y eliminan el estreñimiento. ",,Se pueden guardar en bolsas herméticas en el refrigerador.
melon,fruta,melón,,"Tal vez la más refrescante de las frutas, aunque se puede consumir en ensaladas, como jugo, o en escabeche, el melón se digiere y aprovecha mejor si se lo come solo. Rico en vitamina C y antioxidantes, los calores del verano se atenúan mejor disfrutando un melón.   ",,"Se presume que la cuna del melón se encuentra en África, aunque se considera que su origen podría extenderse a diversas partes de Asia. En África, las semillas del melón son empleadas para la elaboración de aceite de cocina. En el sureste de Asia, ciertas variedades de melón se consumen como vegetales, preparadas en sabrosos salteados.",True,"Por su contenido de potasio y magnesio el melón contribuye al soporte del equilibrio hídrico del cuerpo, a la contracción muscular y al mantenimiento saludable de huesos y dientes y del sistema cardiovascular. Las vitaminas A y C presentes en el melón, favorecen el buen estado de la piel y las mucosas, y la reparación y cicatrización de tejidos. ",,"Puede guardarse a temperatura ambiente. En caso de almacenarlo en el refrigerador, se podrá guardar en una bolsa de plástico perforada para mantener la humedad."
menta,hierba,menta,,"Por su peculiar, intenso y grato olor y sabor es la menta un aromatizante natural hasta de la propia vida. Cócteles, infusiones, postres, helados, ensaladas, y algunas exóticas recetas de pollo y pescado con la menta como base o ingrediente no dejan espacio a dudas.",,"Al aceite esencial de menta, refrescante hierba de origen Mediterraneo, se le atribuyen en la región cualidades como energizante emocional y estimulante. La menta es además un paliativo recurrente allí para aliviar dolores, náuseas y mareos.",False,"Rica en nutrientes como vitaminas A y C, hierro y folato, la menta destaca por sus propiedades antibacterianas. Masticar sus hojas o tomarla en té elimina el mal aliento de raíz al extinguir las bacterias bucales, mientras que previene y alivia síntomas de úlceras en la boca. Al ser además una estimulante de las enzimas digestivas, la menta facilita la digestión.",,Envolverla en una servilleta de papel en un recipiente o bolsa hermética.
mora,fruta,mora,,"Pequeña fruta silvestre que entre las bayas por su sabor y valor se agiganta. La mora es un antiinflamatorio y antioxidante rico en vitaminas A y C, a la que, ya sea en su forma natural, o en pasteles, yogures, jaleas, mermeladas o siropes, su paladar y su salud un monumento le levantan.",,"Posiblemente originaria del Mediterráneo y Asia Central, la mora ha sido un elemento destacado en el folclore británico. En la actualidad, una de las formas más comunes de disfrutar de las moras en la región es a través de la jalea, usualmente acompañada de pan. En algunas partes de Asia, la mora se incorpora en salsas para potenciar el sabor de las carnes.",True,"Considerada la reina de las bayas, la mora contiene una de las mayores concentraciones de antioxidantes entre todas las frutas, beneficiosos para la salud cerebral. Su alto contenido en vitamina C sugiere posibles beneficios anticancerígenos al eliminar del cuerpo sustancias relacionadas al cáncer, mientras que su fibra favorece la salud intestinal.",,Colocarla en un recipiente con tapa dentro del refrigerador.
mostazachina,verdura,mostaza china,,"Cruda, o cocida, agréguele unas hojas de mostaza china a sus ensaladas, a sus carnes, al chop suey, al arroz frito, a los huevos, y estará usted, sin proponérselo acaso, agregando un pasajero más a una de las regiones más saludables de la cultura culinaria.  ",,"De origen impreciso, su raíz se le atribuye a la China e India. Dentro de la cocina china, el Chou Mei, un plato que incluye, entre otros ingredientes: carne de res, fideos de harina, ajo, pimiento, lechuga y hojas de mostaza china, se considera un clásico de la comida regional.",False,"Este vegetal posee niveles sobresalientes de vitaminas A y K, que aumentan durante la cocción, llegando a superar el 100% de los valores diarios recomendados. La vitamina K es esencial para prevenir coágulos en la sangre y problemas del corazón, así como mantener la salud del cerebro. Adicionalmente, la vitamina A apoya el sistema inmune y favorece el crecimiento.",,
mozote,hierba,mozote,,"Anímese usted a tomar un fresco elaborado con el leñoso tallo del mozote y ya verá cómo su estómago se refresca y, además, se lo agradece. Tómelo solo, tómelo mezclado con Tamarindo o con Cas, con algo de azúcar o con vainilla, pero tómelo.  ",,"El mozote es una planta de tallo leñoso y flores amarillas, originaria de Mesoamérica y Centroamérica. El fresco de mozote es bebida recurrente en algunas regiones de Costa Rica.",False,"El mozote posee compuestos naturales capaces de limpiar el colesterol malo y los triglicéridos, al tiempo que aumentan el colesterol bueno. El interior de su tallo alberga una sustancia viscosa ampliamente utilizada para el tratamiento de problemas renales y como un diurético.",,En un lugar seco
naranja,fruta,naranja,,"Haya encontrado o no usted a su media naranja, siempre tendrá ocasión de cortar en dos mitades, exprimir y disfrutar el sabroso jugo de una refrescante y dulce naranja real. Por las tierras de las cremas pasteleras a la cáscara de la naranja sin recogimiento alguno se la ve pasar.",,"Según el Confucianismo, la naranja, una fruta cuyo origen geográfico se ubica en el Asia Oriental, lleva en sí el color de la transformación. En la China se considera a la naranja fuente de prosperidad y buena fortuna.",True,"Su elevado contenido de vitamina C es un pilar antioxidante para la restauración celular, la eliminación de radicales libres y la solidificación del sistema inmunológico. Como fuente de vitamina A, la naranja mantiene en buen estado la piel, las mucosas, la retina, los tejidos blandos y los huesos. Con sus folatos la naranja previene las anemias y ayuda a la formación de glóbulos rojos. ",,"En un lugar seco, oscuro y lejos de la humedad"
